point,source_index,status,trace,frequency_GHz,real,imag,magnitude
baseline,0,success,s_readout_head_from_readout_head,5.5,-0.003489533110552725,0.008537549697086458,0.009223155434007651
baseline,0,success,s_readout_head_from_readout_head,6.0,-0.00408993578887226,0.009094650644288778,0.009971972979243397
baseline,0,success,s_readout_head_from_readout_head,6.5,-0.004721384481262466,0.00960090076997945,0.010699007758427791
baseline,0,success,s_readout_head_from_readout_tail,5.5,0.8877727704297447,0.4547995006666517,0.997488384756003
baseline,0,success,s_readout_head_from_readout_tail,6.0,0.8670692013694187,0.4922418870098543,0.9970511899047229
baseline,0,success,s_readout_head_from_readout_tail,6.5,0.8447848886183129,0.5287054903841228,0.9965896866816208
baseline,0,success,s_readout_head_from_filter_head,5.5,0.030740529974090568,-0.06207264381037867,0.06926754862630914
baseline,0,success,s_readout_head_from_filter_head,6.0,0.03607078265956901,-0.06579465887290475,0.07503358246729107
baseline,0,success,s_readout_head_from_filter_head,6.5,0.041687660156423084,-0.06905792995241657,0.08066510211132381
baseline,0,success,s_readout_head_from_filter_tail,5.5,-0.004331455172609577,0.010456043321657319,0.011317700555179082
baseline,0,success,s_readout_head_from_filter_tail,6.0,-0.005164559803210137,0.011269378966509968,0.012396434174864608
baseline,0,success,s_readout_head_from_filter_tail,6.5,-0.006071883084834419,0.012042600123743972,0.013486733553247676
baseline,0,success,s_readout_tail_from_readout_head,5.5,0.8877727704297447,0.4547995006666517,0.997488384756003
baseline,0,success,s_readout_tail_from_readout_head,6.0,0.8670692013694191,0.492241887009854,0.9970511899047231
baseline,0,success,s_readout_tail_from_readout_head,6.5,0.8447848886183124,0.5287054903841222,0.99658968668162
baseline,0,success,s_readout_tail_from_readout_tail,5.5,-0.003489533110553038,0.00853754969708651,0.009223155434007818
baseline,0,success,s_readout_tail_from_readout_tail,6.0,-0.004089935788873625,0.009094650644288486,0.00997197297924369
baseline,0,success,s_readout_tail_from_readout_tail,6.5,-0.004721384481263442,0.009600900769979282,0.01069900775842807
baseline,0,success,s_readout_tail_from_filter_head,5.5,-0.004331455172609753,0.010456043321657218,0.011317700555179055
baseline,0,success,s_readout_tail_from_filter_head,6.0,-0.005164559803209985,0.011269378966510103,0.012396434174864667
baseline,0,success,s_readout_tail_from_filter_head,6.5,-0.006071883084834263,0.012042600123744114,0.013486733553247733
baseline,0,success,s_readout_tail_from_filter_tail,5.5,0.030740529974090273,-0.06207264381037886,0.06926754862630918
baseline,0,success,s_readout_tail_from_filter_tail,6.0,0.03607078265956883,-0.06579465887290485,0.07503358246729107
baseline,0,success,s_readout_tail_from_filter_tail,6.5,0.04168766015642297,-0.06905792995241647,0.08066510211132367
baseline,0,success,s_filter_head_from_readout_head,5.5,0.030740529974091095,-0.062072643810380655,0.06926754862631115
baseline,0,success,s_filter_head_from_readout_head,6.0,0.0360707826595683,-0.0657946588729035,0.07503358246728963
baseline,0,success,s_filter_head_from_readout_head,6.5,0.041687660156422904,-0.06905792995241632,0.08066510211132351
baseline,0,success,s_filter_head_from_readout_tail,5.5,-0.004331455172608833,0.010456043321655308,0.011317700555176939
